session_id,source_sheet,volume_m,normalized_blocks,normalization_method,status
RKF-15-16-49,Treinos_15_16,7600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-50,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-51,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-52,Treinos_15_16,7600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-53,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-54,Treinos_15_16,7400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-55,Treinos_15_16,7800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-56,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-57,Treinos_15_16,7600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-58,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-59,Treinos_15_16,7600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-60,Treinos_15_16,8000,10,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-61,Treinos_15_16,6200,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-62,Treinos_15_16,6000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-63,Treinos_15_16,6400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-64,Treinos_15_16,6200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-65,Treinos_15_16,6300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-66,Treinos_15_16,6000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-67,Treinos_15_16,6400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-68,Treinos_15_16,6000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-69,Treinos_15_16,6200,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-70,Treinos_15_16,5800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-71,Treinos_15_16,6400,6,already_exact_or_explicit_zero,EXACT_910_READY
